startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 15 21:38:04,2016 Mar 15 21:38:05,1458077884.0,1458077885.0,1.0,388.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 15 22:02:19,2016 Mar 15 22:02:19,1458079339.0,1458079339.0,0.0,1454.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 15 22:06:56,2016 Mar 15 22:06:56,1458079616.0,1458079616.0,0.0,277.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 15 23:09:37,2016 Mar 15 23:09:37,1458083377.0,1458083377.0,0.0,3761.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 15 23:53:25,2016 Mar 15 23:53:25,1458086005.0,1458086005.0,0.0,2628.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:09:33,2016 Mar 16 00:09:33,1458086973.0,1458086973.0,0.0,968.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:25:18,2016 Mar 16 00:25:18,1458087918.0,1458087918.0,0.0,945.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:25:21,2016 Mar 16 00:25:21,1458087921.0,1458087921.0,0.0,3.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:44:06,2016 Mar 16 00:44:06,1458089046.0,1458089046.0,0.0,1125.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:59:06,2016 Mar 16 00:59:06,1458089946.0,1458089946.0,0.0,900.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 00:59:06,2016 Mar 16 00:59:06,1458089946.0,1458089946.0,0.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:11:35,2016 Mar 16 01:11:35,1458090695.0,1458090695.0,0.0,749.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:17:32,2016 Mar 16 01:17:32,1458091052.0,1458091052.0,0.0,357.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:34:24,2016 Mar 16 01:34:24,1458092064.0,1458092064.0,0.0,1012.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:35:56,2016 Mar 16 01:35:56,1458092156.0,1458092156.0,0.0,92.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:42:54,2016 Mar 16 01:42:54,1458092574.0,1458092574.0,0.0,418.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 01:55:19,2016 Mar 16 01:55:19,1458093319.0,1458093319.0,0.0,745.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
