startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Jan 26 03:13:00,2016 Jan 26 03:13:00,1453777980.0,1453777980.0,0.0,86922.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 26 04:56:28,2016 Jan 26 04:56:29,1453784188.0,1453784189.0,1.0,6208.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 26 22:23:21,2016 Jan 26 22:23:21,1453847001.0,1453847001.0,0.0,62812.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 27 07:17:19,2016 Jan 27 07:17:19,1453879039.0,1453879039.0,0.0,32038.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 27 08:52:27,2016 Jan 27 08:52:27,1453884747.0,1453884747.0,0.0,5708.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 27 09:18:55,2016 Jan 27 09:18:55,1453886335.0,1453886335.0,0.0,1588.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 27 22:08:05,2016 Jan 27 22:08:05,1453932485.0,1453932485.0,0.0,46150.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 27 23:45:43,2016 Jan 27 23:45:43,1453938343.0,1453938343.0,0.0,5858.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 28 05:37:03,2016 Jan 28 05:37:03,1453959423.0,1453959423.0,0.0,21080.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 28 12:16:18,2016 Jan 28 12:16:18,1453983378.0,1453983378.0,0.0,23955.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 28 19:21:34,2016 Jan 29 08:33:40,1454008894.0,1454056420.0,47526.0,25516.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 29 16:52:42,2016 Jan 29 16:53:38,1454086362.0,1454086418.0,56.0,29942.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 29 17:59:31,2016 Jan 29 18:02:53,1454090371.0,1454090573.0,202.0,3953.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 29 20:26:45,2016 Jan 29 20:31:23,1454099205.0,1454099483.0,278.0,8632.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 29 20:31:58,2016 Jan 29 20:32:34,1454099518.0,1454099554.0,36.0,35.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 29 23:01:42,2016 Jan 29 23:01:44,1454108502.0,1454108504.0,2.0,8948.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  2 13:38:53,2016 Feb  2 13:38:53,1454420333.0,1454420333.0,0.0,311829.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 09:05:35,2016 Feb  5 10:10:10,1454663135.0,1454667010.0,3875.0,242802.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 10:15:40,2016 Feb  5 11:22:00,1454667340.0,1454671320.0,3980.0,330.0,1/3,lacp block,NorthRoute_CHI_AMS_ChiMLXe4
