startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 22 23:31:54,2016 Mar 22 23:31:54,1458689514.0,1458689514.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:31:55,2016 Mar 22 23:31:55,1458689515.0,1458689515.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:33:52,2016 Mar 22 23:33:52,1458689632.0,1458689632.0,0.0,117.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:13:55,2016 Mar 23 00:13:55,1458692035.0,1458692035.0,0.0,2403.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:43:53,2016 Mar 23 00:43:54,1458693833.0,1458693834.0,1.0,1798.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:44:10,2016 Mar 23 00:44:10,1458693850.0,1458693850.0,0.0,16.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:14,2016 Mar 23 00:46:16,1458693974.0,1458693976.0,2.0,124.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:16,2016 Mar 23 00:46:17,1458693976.0,1458693977.0,1.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:41,2016 Mar 23 00:46:41,1458694001.0,1458694001.0,0.0,24.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:21,2016 Mar 23 00:47:22,1458694041.0,1458694042.0,1.0,40.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:33,2016 Mar 23 00:47:33,1458694053.0,1458694053.0,0.0,11.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:38,2016 Mar 23 00:47:38,1458694058.0,1458694058.0,0.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:39,2016 Mar 23 00:47:39,1458694059.0,1458694059.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:40,2016 Mar 23 00:47:40,1458694060.0,1458694060.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:45,2016 Mar 23 00:47:46,1458694065.0,1458694066.0,1.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:51,2016 Mar 23 00:47:51,1458694071.0,1458694071.0,0.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:55,2016 Mar 23 00:47:55,1458694075.0,1458694075.0,0.0,4.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:58,2016 Mar 23 00:47:58,1458694078.0,1458694078.0,0.0,3.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:48:00,2016 Mar 23 00:48:01,1458694080.0,1458694081.0,1.0,2.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:54:02,2016 Mar 23 00:54:02,1458694442.0,1458694442.0,0.0,361.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 01:59:20,2016 Mar 23 01:59:20,1458698360.0,1458698360.0,0.0,3918.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 01:59:20,2016 Mar 23 01:59:21,1458698360.0,1458698361.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:00:30,2016 Mar 23 02:00:30,1458698430.0,1458698430.0,0.0,69.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:41:55,2016 Mar 23 02:41:55,1458700915.0,1458700915.0,0.0,2485.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:41:56,2016 Mar 23 02:41:56,1458700916.0,1458700916.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:41:56,2016 Mar 23 02:41:56,1458700916.0,1458700916.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:41:56,2016 Mar 23 02:41:57,1458700916.0,1458700917.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:42:02,2016 Mar 23 02:42:03,1458700922.0,1458700923.0,1.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:42:03,2016 Mar 23 02:42:03,1458700923.0,1458700923.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:42:09,2016 Mar 23 02:42:09,1458700929.0,1458700929.0,0.0,6.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 02:42:11,2016 Mar 23 02:42:12,1458700931.0,1458700932.0,1.0,2.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 03:27:13,2016 Mar 23 03:27:14,1458703633.0,1458703634.0,1.0,2701.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 03:29:55,2016 Mar 23 03:29:56,1458703795.0,1458703796.0,1.0,161.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 03:30:06,2016 Mar 23 03:30:06,1458703806.0,1458703806.0,0.0,10.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 03:31:26,2016 Mar 23 03:31:27,1458703886.0,1458703887.0,1.0,80.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 06:03:06,2016 Mar 23 06:03:06,1458712986.0,1458712986.0,0.0,9099.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 14:50:57,2016 Mar 23 14:50:57,1458744657.0,1458744657.0,0.0,31671.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 24 02:02:19,2016 Mar 24 02:02:19,1458784939.0,1458784939.0,0.0,40282.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 13:06:16,2016 Mar 26 14:14:19,1458997576.0,1459001659.0,4083.0,212637.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:14:20,2016 Mar 26 14:14:20,1459001660.0,1459001660.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:14:21,2016 Mar 26 14:14:21,1459001661.0,1459001661.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:14:21,2016 Mar 26 14:14:22,1459001661.0,1459001662.0,1.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:14:22,2016 Mar 26 14:14:22,1459001662.0,1459001662.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:42:31,2016 Mar 26 14:42:32,1459003351.0,1459003352.0,1.0,1689.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 26 14:42:52,2016 Mar 26 14:42:54,1459003372.0,1459003374.0,2.0,20.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 20 10:58:43,2016 Apr 20 10:58:43,1461149923.0,1461149923.0,0.0,2146549.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 20 14:39:13,2016 Apr 20 14:39:13,1461163153.0,1461163153.0,0.0,13230.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 20 15:51:41,2016 Apr 20 15:51:42,1461167501.0,1461167502.0,1.0,4348.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 21 13:57:18,2016 Apr 21 15:29:46,1461247038.0,1461252586.0,5548.0,79536.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 21 15:29:46,2016 Apr 21 15:29:46,1461252586.0,1461252586.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
