startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 May  3 16:10:19,2016 May  3 16:11:57,1462291819.0,1462291917.0,98.0,1671981.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8
2016 May  5 14:31:58,2016 May  5 14:31:59,1462458718.0,1462458719.0,1.0,166801.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 May 18 09:43:47,2016 May 18 10:36:19,1463564627.0,1463567779.0,3152.0,1105908.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 May 28 09:07:10,2016 May 28 23:37:37,1464426430.0,1464478657.0,52227.0,858651.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 May 29 00:01:26,2016 May 29 01:18:35,1464480086.0,1464484715.0,4629.0,1429.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 May 30 19:53:48,2016 May 30 19:53:49,1464638028.0,1464638029.0,1.0,153313.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8
2016 May 30 19:55:22,2016 May 30 19:55:25,1464638122.0,1464638125.0,3.0,93.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun  4 15:03:13,2016 Jun  4 15:17:37,1465052593.0,1465053457.0,864.0,414468.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun  4 15:17:38,2016 Jun  4 15:18:55,1465053458.0,1465053535.0,77.0,1.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun  4 15:41:50,2016 Jun  4 15:41:50,1465054910.0,1465054910.0,0.0,1375.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun  4 16:20:30,2016 Jun  4 16:20:31,1465057230.0,1465057231.0,1.0,2320.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun  4 16:20:38,2016 Jun  4 16:20:40,1465057238.0,1465057240.0,2.0,7.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun 28 15:35:56,2016 Jun 28 15:35:57,1467128156.0,1467128157.0,1.0,2070916.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun 28 15:35:58,2016 Jun 28 15:36:01,1467128158.0,1467128161.0,3.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jun 30 15:12:58,2016 Jun 30 15:13:41,1467299578.0,1467299621.0,43.0,171417.0,1/2,lacp block,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jul  5 16:46:43,2016 Jul  5 17:25:22,1467737203.0,1467739522.0,2319.0,437582.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jul  7 01:51:16,2016 Jul  7 01:56:29,1467856276.0,1467856589.0,313.0,116754.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jul  9 08:23:48,2016 Jul  9 08:24:17,1468052628.0,1468052657.0,29.0,196039.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
2016 Jul  9 09:31:16,2016 Jul  9 09:31:43,1468056676.0,1468056703.0,27.0,4019.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8
