startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Aug  2 14:57:18,2016 Aug  2 14:57:19,1470149838.0,1470149839.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:19,2016 Aug  2 14:57:20,1470149839.0,1470149840.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:20,2016 Aug  2 14:57:21,1470149840.0,1470149841.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:21,2016 Aug  2 14:57:21,1470149841.0,1470149841.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:22,2016 Aug  2 14:57:23,1470149842.0,1470149843.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:23,2016 Aug  2 14:57:25,1470149843.0,1470149845.0,2.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:25,2016 Aug  2 14:57:26,1470149845.0,1470149846.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:26,2016 Aug  2 14:57:27,1470149846.0,1470149847.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:27,2016 Aug  2 14:57:28,1470149847.0,1470149848.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:28,2016 Aug  2 14:57:29,1470149848.0,1470149849.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:30,2016 Aug  2 14:57:30,1470149850.0,1470149850.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:32,2016 Aug  2 14:57:33,1470149852.0,1470149853.0,1.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:33,2016 Aug  2 14:57:33,1470149853.0,1470149853.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:33,2016 Aug  2 14:57:34,1470149853.0,1470149854.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:34,2016 Aug  2 14:57:34,1470149854.0,1470149854.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:35,2016 Aug  2 14:57:35,1470149855.0,1470149855.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:35,2016 Aug  2 14:57:36,1470149855.0,1470149856.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:36,2016 Aug  2 14:57:37,1470149856.0,1470149857.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:40,2016 Aug  2 14:57:40,1470149860.0,1470149860.0,0.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:42,2016 Aug  2 14:57:43,1470149862.0,1470149863.0,1.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:47,2016 Aug  2 14:57:48,1470149867.0,1470149868.0,1.0,4.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:49,2016 Aug  2 14:57:50,1470149869.0,1470149870.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:51,2016 Aug  2 14:57:51,1470149871.0,1470149871.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:52,2016 Aug  2 14:57:52,1470149872.0,1470149872.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:53,2016 Aug  2 14:57:53,1470149873.0,1470149873.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:55,2016 Aug  2 14:57:55,1470149875.0,1470149875.0,0.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:10,2016 Aug  2 14:58:10,1470149890.0,1470149890.0,0.0,15.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:10,2016 Aug  2 14:58:11,1470149890.0,1470149891.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:28,2016 Aug  2 14:58:28,1470149908.0,1470149908.0,0.0,17.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:43,2016 Aug  2 14:58:44,1470149923.0,1470149924.0,1.0,15.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:44,2016 Aug  2 14:58:44,1470149924.0,1470149924.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:44,2016 Aug  2 14:58:45,1470149924.0,1470149925.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:46,2016 Aug  2 14:58:46,1470149926.0,1470149926.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:48,2016 Aug  2 14:58:48,1470149928.0,1470149928.0,0.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:51,2016 Aug  2 14:58:52,1470149931.0,1470149932.0,1.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:58:56,2016 Aug  2 14:58:57,1470149936.0,1470149937.0,1.0,4.0,1/11,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:08,2016 Aug  2 14:59:08,1470149948.0,1470149948.0,0.0,11.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:11,2016 Aug  2 14:59:12,1470149951.0,1470149952.0,1.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:12,2016 Aug  2 14:59:12,1470149952.0,1470149952.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:12,2016 Aug  2 14:59:13,1470149952.0,1470149953.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:15,2016 Aug  2 14:59:15,1470149955.0,1470149955.0,0.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:17,2016 Aug  2 14:59:17,1470149957.0,1470149957.0,0.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:18,2016 Aug  2 14:59:18,1470149958.0,1470149958.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:18,2016 Aug  2 14:59:19,1470149958.0,1470149959.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
