dateIndex,StartT,EndT,startT_sec,endT_sec,duration,interval,netflow,accumulate
2016-06-01 16:52:25,2016-06-01 16:52:25,2016-06-01 16:57:28,1464799945,1464800248,303,28586,111.8941183,5006.0
2016-06-02 12:17:51,2016-06-02 12:17:51,2016-06-02 13:22:49,1464869871,1464873769,3898,69623,11.33362728,4361.0
2016-06-08 09:14:17,2016-06-08 09:14:17,2016-06-08 09:15:54,1465377257,1465377354,97,503488,34.6360142407,82330.0
2016-06-08 09:54:12,2016-06-08 09:54:12,2016-06-08 09:56:22,1465379652,1465379782,130,2298,13.9131024667,361.0
2016-06-09 19:53:02,2016-06-09 19:53:02,2016-06-09 20:17:47,1465501982,1465503467,1485,122200,8.08538873832,19920.0
2016-06-11 13:26:28,2016-06-11 13:26:28,2016-06-11 18:29:23,1465651588,1465669763,18175,148121,15.2838695118,13658.0
2016-06-16 21:33:02,2016-06-16 21:33:02,2016-06-16 21:33:51,1466112782,1466112831,49,443019,57.8638148264,67577.0
2016-06-18 12:13:13,2016-06-18 12:13:13,2016-06-18 18:41:57,1466251993,1466275317,23324,139162,13.5621417571,22204.0
2016-06-19 04:17:27,2016-06-19 04:17:27,2016-06-19 04:51:49,1466309847,1466311909,2062,34530,26.6502718158,5047.0
2016-06-19 14:01:51,2016-06-19 14:01:51,2016-06-19 14:03:27,1466344911,1466345007,96,33002,35.6071453333,7430.0
